Date,GC=F
2014-12-17,66845.1274490851
2014-12-18,64627.524102443094
2014-12-19,59808.68683269367
2014-12-22,58750.41091662519
2014-12-23,59183.63750429424
2014-12-24,61555.51965219835
2014-12-26,63072.62519808551
2014-12-29,62123.94698091407
2014-12-30,63717.43083472137
2014-12-31,58746.78700321029
2015-01-02,58771.20365881318
2015-01-05,63150.14197878304
2015-01-06,65096.706956661255
2015-01-07,64012.78994799707
2015-01-08,62412.03731375928
2015-01-09,60850.49756983909
2015-01-12,58654.434717055185
2015-01-13,62747.43591269563
2015-01-14,59925.05285496622
2015-01-15,58877.128745220434
2015-01-16,61903.75150996387
2015-01-20,63641.27008700425
2015-01-21,60125.830701480576
2015-01-22,59174.122426022936
2015-01-23,56450.74611503049
2015-01-26,56494.12102705516
2015-01-27,57223.33313988072
2015-01-28,56035.90999675003
2015-01-29,54996.11288413981
2015-01-30,58442.35481692795
2015-02-02,65717.33652686074
2015-02-03,69317.09563441727
2015-02-04,66282.31016822407
2015-02-05,70955.08334848218
2015-02-06,69710.20529300637
2015-02-09,74068.05741744518
2015-02-10,72121.83290473776
2015-02-11,78311.31861558174
2015-02-12,82261.58126221053
2015-02-13,77235.13080094146
2015-02-17,77053.34385160089
2015-02-18,76485.10638323257
2015-02-19,77865.07255212293
2015-02-20,80953.98282812374
2015-02-23,80768.59354530885
2015-02-24,81738.75786208632
2015-02-25,80017.32659391743
2015-02-26,81929.97319241893
2015-02-27,86357.90240120474
2015-03-02,78212.10633168384
2015-03-03,84302.420322196
2015-03-04,88231.4332212879
2015-03-05,93226.49660186189
2015-03-06,94304.65802844611
2015-03-09,101865.99474511154
2015-03-10,110310.3994683502
2015-03-11,106489.11271018382
2015-03-12,110140.26418160573
2015-03-13,115379.93686763124
2015-03-16,127879.53655766926
2015-03-17,126980.20949325667
2015-03-18,127857.84294729504
2015-03-19,125386.2261056509
2015-03-20,138880.0500418552
2015-03-23,128445.79187836158
2015-03-24,114130.1724139969
2015-03-25,115829.17820767272
2015-03-26,125937.94579354317
2015-03-27,122615.1824868544
2015-03-30,130758.02985716186
2015-03-31,128138.29341041291
2015-04-01,124867.24257301386
2015-04-02,120397.49175326694
2015-04-06,115709.79513772488
2015-04-07,114950.17066731017
2015-04-08,114751.22659066126
2015-04-09,102762.66804707548
2015-04-10,104968.33022570988
2015-04-13,106782.37891943003
2015-04-14,112912.11230676685
2015-04-15,105978.79054489276
2015-04-16,100432.67695686726
2015-04-17,99873.85124570291
2015-04-20,101491.57380450357
2015-04-21,101310.87848894732
2015-04-22,99515.29772929937
2015-04-23,97418.91129011672
2015-04-24,91255.68273093343
2015-04-27,90920.23639106826
2015-04-28,87425.93024928715
2015-04-29,89748.57997696188
2015-04-30,89875.57195768101
2015-05-01,96550.33113975887
2015-05-04,97561.46250407616
2015-05-05,107797.1539140781
2015-05-06,103423.83330416324
2015-05-07,99492.31248249036
2015-05-08,99081.78397050344
2015-05-11,92211.62647713651
2015-05-12,104072.40593161578
2015-05-13,101013.3955706884
2015-05-14,104176.80007573987
2015-05-15,97935.47487127798
2015-05-18,98316.31799334497
2015-05-19,98517.10053654341
2015-05-20,102112.28133272205
2015-05-21,97777.70801028398
2015-05-22,102409.97678123749
2015-05-26,108681.55867919693
2015-05-27,116462.73204514892
2015-05-28,115188.58592207961
2015-05-29,118357.69516418509
2015-06-01,120875.6267645523
2015-06-02,120504.64164936196
2015-06-03,113503.29492085779
2015-06-04,113227.87208490318
2015-06-05,113552.75373087024
2015-06-08,113990.67863259613
2015-06-09,110121.68756798514
2015-06-10,108904.17417132482
2015-06-11,110948.05389141459
2015-06-12,107063.87366405832
2015-06-15,111857.23556633161
2015-06-16,112365.26827270251
2015-06-17,106818.2024955304
2015-06-18,104028.16907431335
2015-06-19,105041.30566960726
2015-06-22,108361.15312746007
2015-06-23,106454.46955136606
2015-06-24,104677.26213170095
2015-06-25,107480.26208217743
2015-06-26,111770.56762684695
2015-06-29,112491.25349434586
2015-06-30,110299.74343258701
2015-07-01,109078.35356808035
2015-07-02,113851.41753231498
2015-07-06,112459.01400064555
2015-07-07,111329.12323427686
2015-07-08,118765.38959177854
2015-07-09,126417.60508524712
2015-07-10,124627.21665478977
2015-07-13,114547.33524101388
2015-07-14,110862.7342000026
2015-07-15,111024.85683653277
2015-07-16,110568.84773488175
2015-07-17,111517.43174663841
2015-07-20,113913.89609397475
2015-07-21,114906.48573147686
2015-07-22,110474.46968094583
2015-07-23,117579.85051394488
2015-07-24,126295.59029330964
2015-07-27,139090.1632948908
2015-07-28,140012.00666874717
2015-07-29,138360.50458323225
2015-07-30,132855.7430369864
2015-07-31,141353.45102439448
2015-08-03,148931.6490524845
2015-08-04,154304.06840376352
2015-08-05,156738.04022945339
2015-08-06,160590.1799727631
2015-08-07,170193.52767235853
2015-08-10,171764.6368147884
2015-08-11,154327.68678387924
2015-08-12,163032.9956759275
2015-08-13,162710.90476272238
2015-08-14,170718.7813984326
