Date,SI=F
2016-10-14,1772.586209777276
2016-10-17,1831.8207833002602
2016-10-18,1854.2530373333666
2016-10-19,1805.2784148936419
2016-10-20,1758.6775690052457
2016-10-21,1694.2063161225888
2016-10-24,1726.6705148971826
2016-10-25,1690.3545920634413
2016-10-26,1645.9146146709713
2016-10-27,1708.7002609267129
2016-10-28,1782.999808149375
2016-10-31,1869.7081271952486
2016-11-01,1923.4730624147737
2016-11-02,2043.9134008817955
2016-11-03,2057.495906876346
2016-11-04,2067.5891072691597
2016-11-07,1978.3391192062854
2016-11-08,1924.2031942879632
2016-11-09,1849.2571529692539
2016-11-10,2044.7295213620916
2016-11-14,2228.918135096453
2016-11-15,2385.472333154651
2016-11-16,2373.221930797712
2016-11-17,2376.450407148317
2016-11-18,2305.8956765013118
2016-11-21,2160.9668672041626
2016-11-22,2188.644732732688
2016-11-23,2097.059723514553
2016-11-25,2176.170372043334
2016-11-28,2270.6197486214537
2016-11-29,2245.3890703083534
2016-11-30,2334.486855307083
2016-12-01,2211.5149070129746
2016-12-02,2730.3897051029053
2016-12-05,2452.4405500281246
2016-12-06,2290.128812392374
2016-12-07,2315.9852001043723
2016-12-08,2226.2606003026885
2016-12-09,2188.947686250295
2016-12-12,2226.007117799033
2016-12-13,2097.7334223590715
2016-12-14,2119.7337675359345
2016-12-15,2047.9493199447318
2016-12-16,2072.787610458114
2016-12-19,2117.526413154983
2016-12-20,2055.680240823592
2016-12-21,2012.2158280291817
2016-12-22,1933.9480958226663
2016-12-23,1831.6356899626253
2016-12-27,1820.4005706543408
2016-12-28,1826.6961246759968
2016-12-29,1876.4669947272953
2016-12-30,1782.9605209138197
2017-01-03,1902.3467342956915
2017-01-04,1871.5097410704634
2017-01-05,1769.8104537577344
2017-01-06,1721.6266676603718
2017-01-09,1792.6774507432062
2017-01-10,1752.032047767881
2017-01-11,1747.757491452069
2017-01-12,1751.3870317007395
2017-01-13,1724.469394085539
2017-01-17,1885.7971399013925
2017-01-18,1829.4611724261908
2017-01-19,1845.8650879536613
2017-01-20,1770.929875961512
2017-01-23,1672.0706966695718
2017-01-24,1713.6473242914478
2017-01-25,1708.2067487601987
2017-01-26,1694.6727196395118
2017-01-27,1740.0943617961348
2017-01-30,1600.931073246716
2017-01-31,1671.1434065922006
2017-02-01,1715.321421908941
2017-02-02,1665.9661164544943
2017-02-03,1659.1277338382656
2017-02-06,1673.0261178755245
2017-02-07,1666.8220130272368
2017-02-08,1668.5373317055933
2017-02-09,1670.3126402605662
2017-02-10,1716.5452691634978
2017-02-13,1659.3520486948983
2017-02-14,1672.1320831318565
2017-02-15,1617.6008504895456
2017-02-16,1575.6511009680396
2017-02-17,1637.4143129189508
2017-02-21,1630.5471508268142
2017-02-22,1643.9776503106275
2017-02-23,1592.873644638489
2017-02-24,1608.188548152754
2017-02-27,1683.250658889187
2017-02-28,1712.788950992847
2017-03-01,1720.9000525278807
2017-03-02,1610.3402780058893
2017-03-03,1752.5757851318058
2017-03-06,1679.5949707747875
2017-03-07,1694.3704678768388
2017-03-08,1626.669655696846
2017-03-09,1692.9088564787876
2017-03-10,1751.1368545581547
2017-03-13,1662.065609647687
2017-03-14,1667.7982639763968
2017-03-15,1691.8406978652783
2017-03-16,1597.1157967762435
2017-03-17,1645.3310546205676
2017-03-20,1579.5943121841117
2017-03-21,1560.976711527769
2017-03-22,1592.895906290261
2017-03-23,1590.4013885240843
2017-03-24,1718.4257260820732
2017-03-27,1690.7226822973614
2017-03-28,1738.5165408934909
2017-03-29,1768.3664174213143
2017-03-30,1727.8283423284013
2017-03-31,1790.1076881965553
2017-04-03,1727.733875384395
2017-04-04,1718.7590107103845
2017-04-05,1668.163477888024
2017-04-06,1726.0891587246606
2017-04-07,1765.818400783947
2017-04-10,1749.9446874473308
2017-04-11,1754.0185054929684
2017-04-12,1769.700453412113
2017-04-13,1759.865718847702
2017-04-17,1806.2243252247565
2017-04-18,1752.389014147056
2017-04-19,1688.9892333112878
2017-04-20,1767.599445519652
2017-04-21,1749.0148528991751
2017-04-24,1750.1131805968953
2017-04-25,1680.95131545321
2017-04-26,1702.4407750571675
2017-04-27,1745.8473327201928
2017-04-28,1760.3959769987014
2017-05-01,1707.531224233664
2017-05-02,1704.2638087337752
2017-05-03,1623.656192209847
2017-05-04,1624.0350942399607
2017-05-05,1668.400015494958
2017-05-08,1651.7327834609139
2017-05-09,1671.0194628497884
2017-05-10,1665.783775273103
2017-05-11,1627.9280814829403
2017-05-12,1586.9993228330995
2017-05-15,1688.6442985852268
2017-05-16,1558.010138295921
2017-05-17,1547.9002570254263
2017-05-18,1602.2138925929214
2017-05-19,2157.8379841537003
2017-05-22,1920.3626169767633
2017-05-23,1943.1797769563966
2017-05-24,1949.210169223575
2017-05-25,1971.2221732466905
2017-05-26,1984.5795712697031
2017-05-30,1952.841742040693
2017-05-31,1952.5139217573205
2017-06-01,1865.4584993430894
2017-06-02,1948.5617898841836
2017-06-05,1955.7292571572384
2017-06-06,2086.4598306356847
2017-06-07,2025.6636993172456
2017-06-08,1981.096932816052
2017-06-09,1940.9255600379438
2017-06-12,1724.6378538723127
2017-06-13,2025.4817739449861
2017-06-14,2064.3984449559734
2017-06-15,1914.49407543119
2017-06-16,1910.5191945457611
2017-06-19,1927.8819902709688
2017-06-20,1900.50399467983
2017-06-21,2000.2226967848633
2017-06-22,2035.9653369872444
2017-06-23,2068.568182656068
2017-06-26,2064.553792840499
2017-06-27,1953.4216450094125
2017-06-28,2011.2576841038779
2017-06-29,1918.5460049030862
2017-06-30,1971.2723708602405
2017-07-03,1635.2145629492595
2017-07-05,1899.77468906315
2017-07-06,1859.22849294357
2017-07-07,1816.9209557848797
2017-07-10,1588.3105104442886
2017-07-12,1773.8519222949492
2017-07-13,1654.1686207275322
2017-07-14,1686.4754511858516
2017-07-17,1636.5399647057636
2017-07-18,1661.377446160814
2017-07-19,1605.501196823006
2017-07-20,1600.0528571929062
2017-07-21,1551.8006094140856
2017-07-24,1672.0239744899825
2017-07-25,1612.7091590566154
2017-07-26,1660.1046375202977
2017-07-27,1601.7012937990821
2017-07-28,1646.0944772074033
2017-07-31,1707.9156206764953
2017-08-01,1596.9404628849202
2017-08-02,1587.8709566464395
2017-08-03,1556.757934110693
2017-08-04,1520.4902354415476
2017-08-07,1555.4874374840124
2017-08-08,1558.614407796657
2017-08-09,1607.2656088419924
2017-08-10,1682.20033784129
2017-08-11,1728.6370335100107
2017-08-14,1742.889695991814
2017-08-15,1722.2399351393706
2017-08-16,1703.1175960868475
2017-08-17,1679.688842554687
2017-08-18,1721.798068684894
2017-08-21,1732.8971586111566
2017-08-22,1697.7505602894573
2017-08-23,1699.3735087988557
2017-08-24,1646.4641353829804
2017-08-25,1670.050570122943
2017-08-28,1735.225065809072
2017-08-29,1749.9755559758896
2017-08-30,1744.635879409769
2017-08-31,1740.3230486802188
2017-09-01,1735.6974577876733
2017-09-05,1733.4174103640112
2017-09-06,1679.145933261317
2017-09-07,1659.311493693885
2017-09-08,1659.6816875017303
2017-09-11,1815.6926628196234
2017-09-12,1642.7695068783107
2017-09-13,1688.1548672216702
2017-09-14,1702.1164677084619
2017-09-15,1664.7312627572978
2017-09-18,1596.3675656295422
2017-09-19,1660.7222008608883
2017-09-20,1661.670839434238
2017-09-21,1626.8473516089407
2017-09-22,1631.687174321951
2017-09-25,1623.7518959581444
2017-09-26,1669.8447321029698
2017-09-27,1678.2392326145837
2017-09-28,1741.0365186402942
2017-09-29,1700.165942765996
2017-10-02,1660.8555313238494
2017-10-03,1638.5189868889145
2017-10-04,1611.7590715754395
2017-10-05,1598.0463178378006
2017-10-06,1652.5896551084775
2017-10-09,1677.1441366279143
2017-10-10,1769.3346204869767
2017-10-11,1741.8850302602086
2017-10-12,1737.3155399866234
2017-10-13,1750.3041164001465
2017-10-16,1696.5543769116005
2017-10-17,1716.0033085364971
2017-10-18,1681.0993151242878
2017-10-19,1737.1828586849285
2017-10-20,1707.8533448071835
2017-10-23,1764.8769799477436
2017-10-24,1850.2971232744858
2017-10-25,1864.8207260123295
2017-10-26,1827.3973902871342
2017-10-27,1948.5116420924408
2017-10-30,1839.7159481571182
2017-10-31,1943.7536793056352
2017-11-01,1957.882021161582
2017-11-02,1945.4265067816614
2017-11-03,1907.5419197063923
2017-11-06,2020.961423862424
2017-11-07,1881.160255507316
2017-11-08,1956.1073597710438
2017-11-09,1893.2961810981499
2017-11-10,1876.219352924047
2017-11-13,1961.6604394648075
2017-11-14,1963.802503760734
2017-11-15,2039.2878442006545
2017-11-17,1986.138140824622
2017-11-20,1887.7467999763946
2017-11-21,1900.265271157516
2017-11-22,1925.0964208170135
2017-11-24,1826.2010624315326
2017-11-27,1858.0090904853143
2017-11-28,1821.6559254770357
2017-11-29,1746.6605670645574
2017-11-30,1816.011952748571
2017-12-01,1866.104878858645
2017-12-04,1833.3504587880936
